127.0.0.1 - - [26/Sep/2023:09:22:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:23 +0900] "GET /Day54/account/home.jsp HTTP/1.1" 200 3518
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:26 +0900] "GET /Day54/account/login.jsp HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:32 +0900] "POST /Day54/account/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:32 +0900] "GET /Day54/account/home.jsp HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:34 +0900] "GET /Day54/account/myPage.jsp HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:39 +0900] "POST /Day54/account/update.jsp HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:39 +0900] "GET /Day54/account/home.jsp HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:42 +0900] "GET /Day54/account/login.jsp HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:47 +0900] "POST /Day54/account/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:47 +0900] "GET /Day54/account/home.jsp HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:49 +0900] "GET /Day54/account/myPage.jsp HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:51 +0900] "GET /Day54/account/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:09:22:51 +0900] "GET /Day54/account/home.jsp HTTP/1.1" 200 3519
